country,iso3,year,value
Tuvalu,TUV,2023,-1.77710654146662
Uganda,UGA,2023,2.80083228962433
Ukraine,UKR,2023,-8.42300777431605
United Arab Emirates,ARE,2023,3.97717097504667
United Kingdom,GBR,2023,0.821212039762055
United States,USA,2023,0.491924871690548
Uruguay,URY,2023,-0.0835522251458198
Uzbekistan,UZB,2023,2.02114614047908
Vanuatu,VUT,2023,2.32481600892244
"Venezuela, RB",VEN,2023,0.310851368612458
Viet Nam,VNM,2023,0.671429250652247
Virgin Islands (U.S.),VIR,2023,-0.471640678399366
West Bank and Gaza,PSE,2023,2.39326476511584
"Yemen, Rep.",YEM,2023,3.00980765711571
Zambia,ZMB,2023,2.79406758723844
Zimbabwe,ZWE,2023,1.67709591394986
